##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995085_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25124752
11103	28-29	0.07764224184866464
11103	30-31	0.04691129905830849
11103	32-33	0.08696579025936302
11103	34-35	0.08019997148851843
11103	36-37	0.08960713772256668
11103	38-39	0.10992872632408535
11103	40-41	0.040512829889770785
11103	42-43	0.09128101233061159
11103	44-45	0.08002490474903823
11103	46-47	0.041484628524308675
11103	48-49	0.08936709469966786
11103	50-51	0.07670383946454251
11103	52-53	0.0888168861838281
11103	54-55	0.13497654207524334
11103	56-57	0.20095585550898676
11103	58-59	0.20046974231705406
11103	60-61	0.19519709174004163
11103	62-63	0.15187463417232294
11103	64-65	0.20125401754331307
11103	66-67	0.1365465071035743
11103	68-69	0.13543304483103213
11103	70-71	0.13293949677471772
11103	72-73	0.12436094947925369
11103	74-75	0.1328275727775221
11103	76	0.1452108030607846
11104	1	0.02306771206440672
11104	2	0.062779237119436
11104	3	0.013640616033743669
11104	4	0.057382363580462226
11104	5	0.03223221184824254
11104	6	0.058637470463331454
11104	7	0.024079234280954154
11104	8	0.06891485268327813
11104	9	0.07577418143995374
11104	10-11	0.057370724634218107
11104	12-13	0.04375652948488806
11104	14-15	0.04085811190266497
11104	16-17	0.07255263064892148
11104	18-19	0.06315939533124748
11104	20-21	0.03760862668113418
11104	22-23	0.012075755773906849
11104	24-25	0.03583482433445084
11104	26-27	0.0503252978156965
11104	28-29	0.04320577497836808
11104	30-31	0.05536605074498624
11104	32-33	0.11476788695830464
11104	34-35	0.08528847424906871
11104	36-37	0.10120678727824384
11104	38-39	0.096454591727408
11104	40-41	0.05935108551852153
11104	42-43	0.0869549303078827
11104	44-45	0.09600461283602613
11104	46-47	0.0873069223531786
11104	48-49	0.11750449039997335
11104	50-51	0.13558711805639234
11104	52-53	0.08933533390543857
11104	54-55	0.09040045182850776
11104	56-57	0.1457673763773215
11104	58-59	0.1512868450787579
11104	60-61	0.08599783519458981
11104	62-63	0.0866386524530256
11104	64-65	0.15182282047208417
11104	66-67	0.15885456229197814
11104	68-69	0.1763387290682914
11104	70-71	0.15689367204097948
11104	72-73	0.1290615345291144
11104	74-75	0.1202638460534402
11104	76	0.080725432095889
11105	1	0.03662467665572322
11105	2	0.01036221376277524
11105	3	0.01836355958772984
11105	4	0.044884990254075774
11105	5	0.07598829158640186
11105	6	0.08323126522564195
11105	7	0.05374549299273923
11105	8	0.017829356487055747
11105	9	0.06127561444471752
11105	10-11	0.07452912908949827
11105	12-13	0.05989662302354759
11105	14-15	0.022887807105767877
11105	16-17	0.02413867770390965
11105	18-19	0.02781203797476195
11105	20-21	0.021007312195571615
11105	22-23	0.07807523663922211
11105	24-25	0.06497722992348542
11105	26-27	0.023114181817724955
11105	28-29	0.07942044938048554
11105	30-31	0.01627820682216452
11105	32-33	0.07850930189403726
11105	34-35	0.02584395600588607
11105	36-37	0.06745733603068516
11105	38-39	0.06208983935982104
11105	40-41	0.042462519932250586
11105	42-43	0.09649164803433052
11105	44-45	0.05878860671309383
11105	46-47	0.07716168539788981
11105	48-49	0.1002020300598474
11105	50-51	0.05054432958912969
11105	52-53	0.11437063623994703
11105	54-55	0.14175128367099177
11105	56-57	0.10330078038780499
11105	58-59	0.1587007375658871
11105	60-61	0.14654354756670074
11105	62-63	0.1389347336119684
11105	64-65	0.16503580177718646
11105	66-67	0.16388728883423198
11105	68-69	0.2346368607499727
11105	70-71	0.16372074581606455
11105	72-73	0.17118745424780002
11105	74-75	0.06656811771940596
11105	76	0.09950753243030164
11106	1	-0.012476639847314175
11106	2	0.01574772886181819
11106	3	0.03598736156593674
11106	4	0.021748589239667382
11106	5	-0.018127771165200812
11106	6	0.04701722354941751
11106	7	0.04370098451653348
11106	8	0.05546628231826389
11106	9	0.023833518748467952
11106	10-11	0.050379914541466064
11106	12-13	0.03673863762409013
11106	14-15	0.062308998013001826
11106	16-17	0.0419832236537232
11106	18-19	0.06022477061841158
11106	20-21	0.04842314874613862
11106	22-23	0.046224317305387785
11106	24-25	0.08798690649859964
11106	26-27	0.0018014322467863053
11106	28-29	0.06404626967128735
11106	30-31	0.07207877256212214
11106	32-33	0.1069193523569183
11106	34-35	0.07828990203451269
11106	36-37	0.09184332172088716
11106	38-39	0.08905291772374113
11106	40-41	0.06691291162947977
11106	42-43	0.10438816357523706
11106	44-45	0.06641447363057296
11106	46-47	0.07578386639080747
11106	48-49	0.07931345634543163
11106	50-51	0.09281960365017028
11106	52-53	0.10498768048561402
11106	54-55	0.10038378933582948
11106	56-57	0.10508296894651892
11106	58-59	0.14094647596387233
11106	60-61	0.15284458067489481
11106	62-63	0.1372080684738748
11106	64-65	0.15055960410614233
11106	66-67	0.11943213264871133
11106	68-69	0.15411617913952114
11106	70-71	0.16027019168975443
11106	72-73	0.10110249357178702
11106	74-75	0.14972945697652307
11106	76	0.0010666386323876509
11107	1	-8.987091927927793E-4
11107	2	0.00870645465104758
11107	3	8.321121294940781E-5
11107	4	-0.017423896389328064
11107	5	0.05518048930830588
11107	6	0.030453407736899862
11107	7	0.0483823224249349
11107	8	0.03323059082013202
