##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995084_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24865591
11103	44-45	0.07284372111402604
11103	46-47	0.11590987974125966
11103	48-49	0.08463761754971699
11103	50-51	0.08624535923324572
11103	52-53	0.07014170827367394
11103	54-55	0.06213247649202458
11103	56-57	0.11782993371795669
11103	58-59	0.11877303316835253
11103	60-61	0.10583103411391193
11103	62-63	0.10919175343016718
11103	64-65	0.10021663262654101
11103	66-67	0.1348333120450107
11103	68-69	0.1362073199911933
11103	70-71	0.08175090561119447
11103	72-73	0.1105794783078835
11103	74-75	0.1589209440107311
11103	76	0.2646365801669859
11104	1	0.06634208101878869
11104	2	0.02590819283230772
11104	3	0.0492027521938887
11104	4	0.06779216163243618
11104	5	0.020216704338437808
11104	6	0.049865050616077156
11104	7	0.07945589352578963
11104	8	0.0828339256653976
11104	9	0.05575455718634004
11104	10-11	0.023172526087869016
11104	12-13	0.06665378268149169
11104	14-15	0.0589377322264113
11104	16-17	0.03846600876392614
11104	18-19	0.04382963400907158
11104	20-21	0.08649087101157704
11104	22-23	0.08165940622177459
11104	24-25	0.05939813200868116
11104	26-27	0.07343607431729993
11104	28-29	0.07385058034644487
11104	30-31	0.10782042130424685
11104	32-33	0.0738245191570428
11104	34-35	0.06972478127315895
11104	36-37	0.06143497636239914
11104	38-39	0.039888037960970735
11104	40-41	0.06411413607932559
11104	42-43	0.06386704501788643
11104	44-45	0.06943049582564242
11104	46-47	0.07372904432933325
11104	48-49	0.09245961880987608
11104	50-51	0.08944549981686833
11104	52-53	0.06789212919841248
11104	54-55	0.07673357025532823
11104	56-57	0.04280274712641585
11104	58-59	0.05595601208001
11104	60-61	0.12493982993265007
11104	62-63	0.10533199996000064
11104	64-65	0.07426188549311519
11104	66-67	0.0636447471420638
11104	68-69	0.1869350833863237
11104	70-71	0.11808120362616847
11104	72-73	0.013886746454154775
11104	74-75	-0.024743190566326234
11104	76	-0.4780032192614385
11105	1	0.027193246137635185
11105	2	0.06804865121700843
11105	3	0.0464739912647012
11105	4	0.02663453348762701
11105	5	0.0295488347333297
11105	6	0.0825608113562879
11105	7	0.06038964827010318
11105	8	0.06410220164784164
11105	9	0.08874254238310897
11105	10-11	0.056165019835894725
11105	12-13	0.05047820670828429
11105	14-15	0.06530794496401882
11105	16-17	0.05916075380667252
11105	18-19	0.049414839371877406
11105	20-21	0.0367068445812464
11105	22-23	0.04812077418729643
11105	24-25	0.03406229040601971
11105	26-27	0.027505410093823457
11105	28-29	0.06173646519282272
11105	30-31	0.06537067775437322
11105	32-33	0.08431271780300875
11105	34-35	0.03708114711304944
11105	36-37	0.03090660494387265
11105	38-39	0.06260007226093478
11105	40-41	0.03908270673065317
11105	42-43	0.0671144324772257
11105	44-45	0.04344637520355121
11105	46-47	0.08058099963262322
11105	48-49	0.06281317386825691
11105	50-51	0.08841121384382689
11105	52-53	0.04482975578150672
11105	54-55	0.07919255595833619
11105	56-57	0.11027200408663873
11105	58-59	0.1321156721523309
11105	60-61	0.0855378147857806
11105	62-63	0.08816408407059839
11105	64-65	0.03901770213209943
11105	66-67	0.10546844780532894
11105	68-69	0.11231449504527546
11105	70-71	0.1273498693685582
11105	72-73	0.01910916248819916
11105	74-75	0.07743966815976933
11105	76	0.1612226105438168
11106	1	0.030988325350215007
11106	2	0.0339076643783649
11106	3	0.044597849412589596
11106	4	0.030763742899992508
11106	5	0.030464473209633525
11106	6	0.038101902675776955
11106	7	-0.020921502355385257
11106	8	-0.023195029622286256
11106	9	0.046347703113781336
11106	10-11	0.016834864583806564
11106	12-13	0.016900451645604164
11106	14-15	0.0068397607292709495
11106	16-17	0.03845614699077515
11106	18-19	0.041269518959254015
11106	20-21	0.027667273731246667
11106	22-23	0.03597936678509939
11106	24-25	0.022975514891150794
11106	26-27	0.011372477075354936
11106	28-29	0.051635754687495705
11106	30-31	-0.008957047893204617
11106	32-33	0.013409838395638474
11106	34-35	-0.01589027846751634
11106	36-37	0.008417854117219292
11106	38-39	0.0633791974475244
11106	40-41	0.05519990392620855
11106	42-43	0.028789585100881254
11106	44-45	0.019948520030510508
11106	46-47	0.049289058924046
11106	48-49	0.04423470462421619
11106	50-51	0.061359928178944756
11106	52-53	0.024308065041559246
11106	54-55	0.05893154150247426
11106	56-57	0.06378570279115081
11106	58-59	0.010180680652084106
11106	60-61	0.022264828682203586
11106	62-63	0.05596930905704767
11106	64-65	0.06330570843606864
11106	66-67	0.017898692091961266
11106	68-69	0.025532270909451427
11106	70-71	0.04471185316118209
11106	72-73	-0.02641686542300903
11106	74-75	0.07241993966019322
11106	76	0.23709881648407816
